Type                                  Module                      Label             Process     
------------------------------------------------------------------------------------------------
BXVector<L1MuKBMTrack>                "simKBmtfDigis"             ""                "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         ""                "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsBMTF"    "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFNeg"   "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFPos"   "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFNeg"   "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFPos"   "fullsim"   
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "BMTF"            "fullsim"   
BXVector<l1t::RegionalMuonCand>       "simKBmtfDigis"             "BMTF"            "fullsim"   
BXVector<l1t::RegionalMuonCand>       "simEmtfDigis"              "EMTF"            "fullsim"   
BXVector<l1t::RegionalMuonCand>       "simOmtfDigis"              "OMTF"            "fullsim"   
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "UnsortedBMTF"    "fullsim"   
L1MuDTChambPhContainer                "simDtTriggerPrimitiveDigis"   ""                "fullsim"   
L1MuDTChambThContainer                "simDtTriggerPrimitiveDigis"   ""                "fullsim"   
L1Phase2MuDTExtPhContainer            "dtTriggerPhase2PrimitiveDigis"   ""                "fullsim"   
L1Phase2MuDTExtThContainer            "dtTriggerPhase2PrimitiveDigis"   ""                "fullsim"   
L1Phase2MuDTPhContainer               "dtTriggerPhase2PrimitiveDigis"   ""                "fullsim"   
L1Phase2MuDTThContainer               "dtTriggerPhase2PrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCCLCTPreTriggerDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "simMuonCSCDigis"           "MuonCSCComparatorDigi"   "fullsim"   
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   "MPCSORTED"       "fullsim"   
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   "Anode"           "fullsim"   
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   "Cathode"         "fullsim"   
MuonDigiCollection<CSCDetId,CSCStripDigi>    "simMuonCSCDigis"           "MuonCSCStripDigi"   "fullsim"   
MuonDigiCollection<CSCDetId,CSCWireDigi>    "simMuonCSCDigis"           "MuonCSCWireDigi"   "fullsim"   
MuonDigiCollection<CSCDetId,int>      "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<DTLayerId,DTDigi>    "simMuonDTDigis"            ""                "fullsim"   
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "fullsim"   
MuonDigiCollection<GEMDetId,GEMCoPadDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<RPCDetId,RPCDigi>    "simMuonRPCDigis"           ""                "fullsim"   
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "fullsim"   
TTClusterAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTClusterAssociatorFromPixelDigis"   "ClusterAccepted"   "fullsim"   
TTClusterAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTClusterAssociatorFromPixelDigis"   "ClusterInclusive"   "fullsim"   
TTClusterAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTClusterAssociatorFromPixelDigis"   "ClusterRejected"   "fullsim"   
TTStubAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTStubAssociatorFromPixelDigis"   "StubAccepted"    "fullsim"   
TTStubAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTStubAssociatorFromPixelDigis"   "StubRejected"    "fullsim"   
TTTrackAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTTrackAssociatorFromPixelDigis"   "Level1TTTracks"   "fullsim"   
TTTrackAssociationMap<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >    "TTTrackAssociatorFromPixelDigisExtended"   "Level1TTTracks"   "fullsim"   
edm::DetSetVector<Phase2TrackerDigi>    "mix"                       "Tracker"         "fullsim"   
edm::DetSetVector<RPCDigiSimLink>     "simMuonRPCDigis"           "RPCDigiSimLink"   "fullsim"   
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCStripDigiSimLinks"   "fullsim"   
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCWireDigiSimLinks"   "fullsim"   
edm::RefVector<vector<TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >,TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >,edm::refhelper::FindUsingAdvance<vector<TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >,TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > > >    "l1tTrackSelectionProducerExtended"   "Level1TTTracksExtendedSelected"   "fullsim"   
edm::RefVector<vector<TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >,TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >,edm::refhelper::FindUsingAdvance<vector<TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >,TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > > >    "l1tTrackSelectionProducerExtended"   "Level1TTTracksExtendedSelectedAssociated"   "fullsim"   
