Type                                  Module                      Label             Process     
------------------------------------------------------------------------------------------------
BXVector<L1MuKBMTrack>                "simKBmtfDigis"             ""                "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         ""                "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsBMTF"    "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFNeg"   "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFPos"   "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFNeg"   "fullsim"   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFPos"   "fullsim"   
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "BMTF"            "fullsim"   
BXVector<l1t::RegionalMuonCand>       "simKBmtfDigis"             "BMTF"            "fullsim"   
BXVector<l1t::RegionalMuonCand>       "simEmtfDigis"              "EMTF"            "fullsim"   
BXVector<l1t::RegionalMuonCand>       "simOmtfDigis"              "OMTF"            "fullsim"   
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "UnsortedBMTF"    "fullsim"   
L1MuDTChambPhContainer                "simDtTriggerPrimitiveDigis"   ""                "fullsim"   
L1MuDTChambThContainer                "simDtTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "simCscTriggerPrimitiveDigisRun3"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "simCscTriggerPrimitiveDigisRun3"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCCLCTPreTriggerDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCCLCTPreTriggerDigi>    "simCscTriggerPrimitiveDigisRun3"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "simMuonCSCDigis"           "MuonCSCComparatorDigi"   "fullsim"   
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigisRun3"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   "MPCSORTED"       "fullsim"   
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigisRun3"   "MPCSORTED"       "fullsim"   
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigisRun3"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   "Anode"           "fullsim"   
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigisRun3"   "Anode"           "fullsim"   
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   "Cathode"         "fullsim"   
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigisRun3"   "Cathode"         "fullsim"   
MuonDigiCollection<CSCDetId,CSCStripDigi>    "simMuonCSCDigis"           "MuonCSCStripDigi"   "fullsim"   
MuonDigiCollection<CSCDetId,CSCWireDigi>    "simMuonCSCDigis"           "MuonCSCWireDigi"   "fullsim"   
MuonDigiCollection<CSCDetId,int>      "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<CSCDetId,int>      "simCscTriggerPrimitiveDigisRun3"   ""                "fullsim"   
MuonDigiCollection<DTLayerId,DTDigi>    "simMuonDTDigis"            ""                "fullsim"   
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "fullsim"   
MuonDigiCollection<GEMDetId,GEMCoPadDigi>    "simCscTriggerPrimitiveDigis"   ""                "fullsim"   
MuonDigiCollection<RPCDetId,RPCDigi>    "simMuonRPCDigis"           ""                "fullsim"   
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "fullsim"   
edm::DetSetVector<RPCDigiSimLink>     "simMuonRPCDigis"           "RPCDigiSimLink"   "fullsim"   
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCStripDigiSimLinks"   "fullsim"   
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCWireDigiSimLinks"   "fullsim"   
edm::TriggerResults                   "TriggerResults"            ""                "fullsim"   
float                                 "genParticles"              "t0"              "fullsim"   
vector<L1MuBMTrack>                   "simBmtfDigis"              "BMTF"            "fullsim"   
vector<L1MuBMTrackSegEta>             "simBmtfDigis"              "BMTF"            "fullsim"   
vector<L1MuBMTrackSegPhi>             "simBmtfDigis"              "BMTF"            "fullsim"   
vector<PSimHit>                       "g4SimHits"                 "MuonCSCHits"     "fullsim"   
vector<PSimHit>                       "g4SimHits"                 "MuonDTHits"      "fullsim"   
vector<PSimHit>                       "g4SimHits"                 "MuonRPCHits"     "fullsim"   
vector<SimTrack>                      "g4SimHits"                 ""                "fullsim"   
vector<SimVertex>                     "g4SimHits"                 ""                "fullsim"   
vector<TrackingParticle>              "mix"                       ""                "fullsim"   
vector<TrackingParticle>              "prunedTrackingParticles"   ""                "fullsim"   
vector<TrackingParticle>              "mix"                       "MergedTrackTruth"   "fullsim"   
vector<TrackingVertex>                "mix"                       ""                "fullsim"   
vector<TrackingVertex>                "mix"                       "MergedTrackTruth"   "fullsim"   
vector<int>                           "genParticles"              ""                "fullsim"   
vector<l1t::EMTFHit>                  "simEmtfDigis"              ""                "fullsim"   
vector<l1t::EMTFTrack>                "simEmtfDigis"              ""                "fullsim"   
vector<reco::GenParticle>             "genParticles"              ""                "fullsim"   
